name,1900,2020,province,percentage
Moneva,636,114,Zaragoza,82.07
Monreal de Ariza,680,189,Zaragoza,72.20
Monterde,932,143,Zaragoza,84.65
Montón,499,90,Zaragoza,81.96
Morata de Jalón,2161,1066,Zaragoza,50.67
Morata de Jiloca,897,276,Zaragoza,69.23
Moros,1209,319,Zaragoza,73.61
Morés,1168,321,Zaragoza,72.51
Moyuela,952,265,Zaragoza,72.16
Mozota,378,120,Zaragoza,68.25
Munébrega,1300,363,Zaragoza,72.07
Murero,519,96,Zaragoza,81.50
Murillo de Gállego,1159,191,Zaragoza,83.52
Navardún,413,36,Zaragoza,91.28
Nigüella,270,61,Zaragoza,77.40
Nombrevilla,262,31,Zaragoza,88.16
Nonaspe,1681,978,Zaragoza,41.82
Novallas,1527,825,Zaragoza,45.97
Novillas,908,517,Zaragoza,43.06
Nuévalos,902,285,Zaragoza,68.40
Olvés,674,110,Zaragoza,83.67
Orcajo,495,55,Zaragoza,88.88
Orera,411,111,Zaragoza,72.99
Orés,734,109,Zaragoza,85.14
Oseja,346,47,Zaragoza,86.41
Osera de Ebro,497,383,Zaragoza,22.93
Paniza,1820,619,Zaragoza,65.98
Paracuellos de Jiloca,712,573,Zaragoza,19.52
Paracuellos de la Ribera,908,136,Zaragoza,85.02
Perdiguera,725,572,Zaragoza,21.10
Piedratajada,300,87,Zaragoza,71.00
Pina de Ebro,2409,2391,Zaragoza,.74
Plasencia de Jalón,875,308,Zaragoza,64.80
Pleitas,154,33,Zaragoza,78.57
Plenas,681,98,Zaragoza,85.60
Pomer,474,21,Zaragoza,95.56
Pozuel de Ariza,287,21,Zaragoza,92.68
Pozuelo de Aragón,710,282,Zaragoza,60.28
Pradilla de Ebro,688,540,Zaragoza,21.51
Puebla de Albortón,631,120,Zaragoza,80.98
Puendeluna,228,48,Zaragoza,78.94
Purujosa,463,32,Zaragoza,93.08
Quinto,2521,1949,Zaragoza,22.68
Retascón,180,62,Zaragoza,65.55
Romanos,321,125,Zaragoza,61.05
Rueda de Jalón,896,312,Zaragoza,65.17
Ruesca,163,76,Zaragoza,53.37
Sabiñán,1759,722,Zaragoza,58.95
Salillas de Jalón,583,321,Zaragoza,44.93
Salvatierra de Esca,1196,207,Zaragoza,82.69
Samper del Salz,404,100,Zaragoza,75.24
San Martín de la Virgen de Moncayo,385,270,Zaragoza,29.87
Santa Cruz de Grío,929,105,Zaragoza,88.69
Santa Cruz de Moncayo,318,123,Zaragoza,61.32
Santa Eulalia de Gállego,924,97,Zaragoza,89.50
Santed,290,64,Zaragoza,77.93
Sediles,311,108,Zaragoza,65.27
Sestrica,1298,344,Zaragoza,73.49
Sierra de Luna,651,270,Zaragoza,58.52
Sigüés,1638,79,Zaragoza,95.17
Sisamón,457,35,Zaragoza,92.34
Sos del Rey Católico,3596,567,Zaragoza,84.23
Sádaba,1812,1311,Zaragoza,27.64
Sástago,2987,1119,Zaragoza,62.53
Tabuenca,1379,321,Zaragoza,76.72
Talamantes,471,61,Zaragoza,87.04
Terrer,975,464,Zaragoza,52.41
Tierga,682,190,Zaragoza,72.14
Tobed,1002,230,Zaragoza,77.04
Torralba de Ribota,654,169,Zaragoza,74.15
Torralba de los Frailes,530,76,Zaragoza,85.66
Torralbilla,393,59,Zaragoza,84.98
Torrehermosa,258,69,Zaragoza,73.25
Torrelapaja,310,35,Zaragoza,88.70
Torrellas,860,246,Zaragoza,71.39
Torrijo de la Cañada,2007,197,Zaragoza,90.18
Tosos,841,183,Zaragoza,78.24
Trasmoz,341,88,Zaragoza,74.19
Trasobares,531,115,Zaragoza,78.34
Uncastillo,2758,621,Zaragoza,77.48
Undués de Lerda,485,57,Zaragoza,88.24
Urrea de Jalón,801,435,Zaragoza,45.69
Urriés,1111,43,Zaragoza,96.12
Used,1432,256,Zaragoza,82.12
Val de San Martín,345,61,Zaragoza,82.31
Valdehorna,236,33,Zaragoza,86.01
Valmadrid,202,112,Zaragoza,44.55
Valpalmas,415,137,Zaragoza,66.98
Valtorres,293,61,Zaragoza,79.18
Velilla de Ebro,1027,203,Zaragoza,80.23
Velilla de Jiloca,486,81,Zaragoza,83.33
Vera de Moncayo,1329,322,Zaragoza,75.77
Vierlas,230,82,Zaragoza,64.34
Villadoz,266,95,Zaragoza,64.28
Villafeliche,1374,154,Zaragoza,88.79
Villalba de Perejil,266,96,Zaragoza,63.90
Villalengua,1384,293,Zaragoza,78.82
Villanueva de Huerva,922,434,Zaragoza,52.92
Villanueva de Jiloca,545,52,Zaragoza,90.45
Villar de los Navarros,984,113,Zaragoza,88.51
Villarreal de Huerva,469,273,Zaragoza,41.79
Villarroya de la Sierra,2405,435,Zaragoza,81.91
Villarroya del Campo,229,89,Zaragoza,61.13
Vistabella,495,48,Zaragoza,90.30
