name,1900,2020,percentage,province,densidad
Calaceite,2579,978,62.07,Teruel,81.33
Calamocha,6017,4429,26.39,Teruel,316.63
Calanda,3924,3822,2.59,Teruel,112.25
Calomarde,422,74,82.46,Teruel,28.18
Camarena de la Sierra,882,107,87.86,Teruel,79.54
Camarillas,816,92,88.72,Teruel,50.55
Camañas,450,133,70.44,Teruel,78.67
Caminreal,1349,615,54.41,Teruel,44.39
Cantavieja,1962,729,62.84,Teruel,124.56
Cascante del Río,574,67,88.32,Teruel,32.38
Castejón de Tornos,475,55,88.42,Teruel,17.56
Castel de Cabra,623,93,85.07,Teruel,29.44
Castellote,5122,676,86.80,Teruel,235.18
Castelnou,680,134,80.29,Teruel,37.09
Castelserás,2177,800,63.25,Teruel,31.52
Cañada Vellida,201,36,82.08,Teruel,23
Cañada de Benatanduz,642,33,94.85,Teruel,34.89
Cañizar del Olivar,507,100,80.27,Teruel,22.29
Cedrillas,957,639,33.22,Teruel,73.57
Celadas,876,367,58.10,Teruel,100.45
Cella,2567,2571,-.15,Teruel,124.68
Corbalán,484,109,77.47,Teruel,82.44
Cortes de Aragón,492,60,87.80,Teruel,24.43
Cosa,385,51,86.75,Teruel,54.81
Cretas,1562,554,64.53,Teruel,52.66
Crivillén,937,86,90.82,Teruel,42.03
Cubla,363,55,84.84,Teruel,48.63
Cucalón,525,78,85.14,Teruel,31.93
Cuevas Labradas,401,137,65.83,Teruel,40.81
Cuevas de Almudén,243,118,51.44,Teruel,35.85
Ejulve,1291,177,86.28,Teruel,109.49
El Castellar,489,55,88.75,Teruel,50.33
El Cuervo,576,80,86.11,Teruel,20.76
El Pobo,497,108,78.26,Teruel,63
El Vallecillo,467,44,90.57,Teruel,21.59
Escorihuela,493,136,72.41,Teruel,56.99
Escucha,707,801,-13.29,Teruel,41.57
Estercuel,964,205,78.73,Teruel,55.59
Ferreruela de Huerva,262,64,75.57,Teruel,20.44
Fonfría,205,26,87.31,Teruel,20.58
Formiche Alto,1029,148,85.61,Teruel,78.17
Fortanete,1570,202,87.13,Teruel,168.21
Foz-Calanda,786,258,67.17,Teruel,37.87
Frías de Albarracín,665,104,84.36,Teruel,50.79
Fuenferrada,402,36,91.04,Teruel,24.53
Fuentes Calientes,243,91,62.55,Teruel,25.01
Fuentes Claras,1123,445,60.37,Teruel,36.91
Fuentes de Rubielos,895,124,86.14,Teruel,38.91
Fuentespalda,927,282,69.57,Teruel,39
Fórnoles,742,74,90.02,Teruel,32.56
Galve,468,160,65.81,Teruel,61.23
Gargallo,644,97,84.93,Teruel,30.08
Gea de Albarracín,1168,370,68.32,Teruel,57
Griegos,415,138,66.74,Teruel,31.77
Guadalaviar,492,244,50.40,Teruel,28.08
Gúdar,730,77,89.45,Teruel,60.77
Hinojosa de Jarque,546,112,79.48,Teruel,36.47
Huesa del Común,1284,69,94.62,Teruel,61.69
Híjar,3330,1754,47.32,Teruel,165.36
Jabaloyas,934,59,93.68,Teruel,61.73
Jarque de la Val,277,62,77.61,Teruel,29.23
Jatiel,255,39,84.70,Teruel,10.84
Jorcas,462,29,93.72,Teruel,26
Josa,615,34,94.47,Teruel,28.23
La Cañada de Verich,287,92,67.94,Teruel,10.86
La Cerollera,450,88,80.44,Teruel,33.75
La Codoñera,1342,319,76.22,Teruel,20.97
La Cuba,357,43,87.95,Teruel,6.51
La Fresneda,1799,443,75.37,Teruel,39.48
La Ginebrosa,1116,197,82.34,Teruel,80
La Hoz de la Vieja,924,81,91.23,Teruel,43.73
La Iglesuela del Cid,1485,402,72.92,Teruel,40.29
La Mata de los Olmos,458,261,43.01,Teruel,23.73
La Portellada,860,236,72.55,Teruel,21.37
La Puebla de Híjar,1921,899,53.20,Teruel,17.03
La Puebla de Valverde,1982,451,77.24,Teruel,17.03
La Zoma,181,32,82.32,Teruel,14
Lagueruela,252,69,72.61,Teruel,26.32
Lanzuela,243,22,90.94,Teruel,14.22
Las Parras de Castellote,1107,55,95.03,Teruel,42.13
Libros,607,100,83.52,Teruel,37.91
Lidón,308,54,82.46,Teruel,40
Linares de Mora,1592,225,85.86,Teruel,116.28
Lledó,580,155,73.27,Teruel,15.61
Los Olmos,600,118,80.33,Teruel,43.97
Loscos,1507,125,91.70,Teruel,71.78
Maicas,391,31,92.07,Teruel,24.74
Manzanera,2750,516,81.23,Teruel,168.66
Martín del Río,729,387,46.91,Teruel,54.88
Mas de las Matas,1981,1258,36.49,Teruel,29.99
Mazaleón,1403,511,63.57,Teruel,86.25
Mezquita de Jarque,327,89,72.78,Teruel,31.14
Mirambel,835,116,86.10,Teruel,45.47
Miravete de la Sierra,486,38,92.18,Teruel,36.51
Molinos,1405,222,84.19,Teruel,79.61
Monforte de Moyuela,694,71,89.76,Teruel,47.74
Monreal del Campo,2330,2487,-6.73,Teruel,89.05
Monroyo,1284,332,74.14,Teruel,79.23
Montalbán,2020,1245,38.36,Teruel,82.04
Monteagudo del Castillo,489,49,89.97,Teruel,44.36
