1910,2018,municipio,cp,densidad,foto
2701,839,Valle de Hecho,22901,5.4,ValledeHecho
841,260,Puente La Reina de Jaca,22902,7.63,PuenteLaReinadeJaca
1941,813,San Miguel del Cinca,22903,5.4,SanMigueldelCinca
4073,894,La Sotonera,22904,3.09,LaSotonera
1181,341,Lupiñén-Ortilla,22905,7.7,Lupinen-Ortilla
622,208,Santa MarÃ­a de Dulcis,22906,7.55,SantaMariadeDulcis
3800,2151,AÃ­nsa-Sobrarbe,22907,3.93,Ainsa-Sobrarbe
458,76,Ababuj,44001,1.4,Ababuj
711,49,Abejuela,44002,0.56,Abejuela
185,18,Aguatón,44003,0.83,Aguaton
496,63,Aguilar del Alfambra,44005,1.61,AguilardelAlfambra
1007,264,AlacÃ³n,44006,5.61,Alacon
694,178,Alba,44007,2.56,Alba
4537,2004,Albalate del Arzobispo,44008,9.74,AlbalatedelArzobispo
1752,1016,Albarracín,44009,2.24,Albarracin
1038,257,Albentosa,44010,3.77,Albentosa
1347,63,Alcaine,44011,1.09,Alcaine
1647,347,Alcalá de La Selva,44012,3.3,AlcaladeLaSelva
1340,531,Alfambra,44016,4.33,Alfambra
1799,358,Aliaga,44017,1.85,Aliaga
271,16,Almohaja,44018,0.62,Almohaja
561,62,Alobras,44019,2.01,Alobras
241,22,AlpeÃ±Ã©s,44020,0.76,Alpenes
1014,126,Allepuz,44021,1.87,Allepuz
1926,582,Alloza,44022,7.18,Alloza
208,29,Allueva,44023,1.55,Allueva
391,27,Anadón,44024,1.09,Anadon
1280,105,Arcos de Las Salinas,44026,0.92,ArcosdeLasSalinas
766,206,Arens de Lledó,44027,6.01,ArensdeLledo
710,198,Argente,44028,3.16,Argente
1506,708,Ariño,44029,8.64,Arino
778,94,Azaila,44031,1.15,Azaila
451,20,BÃ¡denas,44032,0.63,Badenas
720,153,BaÃ±Ã³n,44034,2.81,Banon
722,118,Barrachina,44035,4.74,Barrachina
167,31,Bea,44036,1.32,Bea
1902,541,Beceite,44037,5.59,Beceite
820,113,Belmonte de San JosÃ©,44038,2.58,BelmontedeSanJose
1145,225,Bello,44039,4.28,Bello
804,244,Berge,44040,5.72,Berge
336,70,Bezas,44041,2.65,Bezas
921,125,Blancas,44042,1.71,Blancas
1430,95,Blesa,44043,1.18,Blesa
527,106,Bordón,44044,3.53,Bordon
991,443,Bronchales,44045,7.5,Bronchales
368,63,BueÃ±a,44046,1.54,Buena
1168,243,Burbáguena,44047,6.22,Burbaguena
538,55,Cabra de Mora,44048,1.6,CabradeMora
431,74,Calomarde,44052,2.62,Calomarde
500,124,CamaÃ±as,44053,1.57,Camanas
881,113,Camarena de La Sierra,44054,1.42,CamarenadeLaSierra
782,86,Camarillas,44055,1.7,Camarillas
2049,714,Cantavieja,44059,5.73,Cantavieja
611,39,Cañada de Benatanduz,44060,1.11,CanadadeBenatanduz
318,87,La Cañada de Verich,44061,8.01,LaCanadadeVerich
192,35,Cañada Vellida,44062,1.52,CanadaVellida
579,98,Cañizar del Olivar,44063,4.39,CanizardelOlivar
612,71,Cascante del Río,44064,2.19,CascantedelRio
492,62,Castejón de Tornos,44065,3.53,CastejondeTornos
603,104,Castel de Cabra,44066,3.53,CasteldeCabra
549,160,Castelnou,44067,4.31,Castelnou
491,52,El Castellar,44070,1.03,ElCastellar
5398,676,Castellote,44071,2.87,Castellote
987,630,Cedrillas,44074,8.56,Cedrillas
883,396,Celadas,44075,3.94,Celadas
465,100,La Cerollera,44077,2.96,LaCerollera
480,109,Corbalán,44082,1.32,Corbalan
